issue_id,date,year_month_folder,day_folder,txt_path
19970821_01,1997-08-21,1997-08,21_01,C:\scripts\gettysburgian\issue_txt\19970821_01.txt
19970828_01,1997-08-28,1997-08,28_01,C:\scripts\gettysburgian\issue_txt\19970828_01.txt
19970904_01,1997-09-04,1997-09,04_01,C:\scripts\gettysburgian\issue_txt\19970904_01.txt
19970911_01,1997-09-11,1997-09,11_01,C:\scripts\gettysburgian\issue_txt\19970911_01.txt
19970918_01,1997-09-18,1997-09,18_01,C:\scripts\gettysburgian\issue_txt\19970918_01.txt
19970925_01,1997-09-25,1997-09,25_01,C:\scripts\gettysburgian\issue_txt\19970925_01.txt
19971002_01,1997-10-02,1997-10,02_01,C:\scripts\gettysburgian\issue_txt\19971002_01.txt
19971009_01,1997-10-09,1997-10,09_01,C:\scripts\gettysburgian\issue_txt\19971009_01.txt
19971023_01,1997-10-23,1997-10,23_01,C:\scripts\gettysburgian\issue_txt\19971023_01.txt
19971030_01,1997-10-30,1997-10,30_01,C:\scripts\gettysburgian\issue_txt\19971030_01.txt
19971106_01,1997-11-06,1997-11,06_01,C:\scripts\gettysburgian\issue_txt\19971106_01.txt
19971113_01,1997-11-13,1997-11,13_01,C:\scripts\gettysburgian\issue_txt\19971113_01.txt
19971120_01,1997-11-20,1997-11,20_01,C:\scripts\gettysburgian\issue_txt\19971120_01.txt
19971204_01,1997-12-04,1997-12,04_01,C:\scripts\gettysburgian\issue_txt\19971204_01.txt
19980122_01,1998-01-22,1998-01,22_01,C:\scripts\gettysburgian\issue_txt\19980122_01.txt
19980129_01,1998-01-29,1998-01,29_01,C:\scripts\gettysburgian\issue_txt\19980129_01.txt
19980205_01,1998-02-05,1998-02,05_01,C:\scripts\gettysburgian\issue_txt\19980205_01.txt
19980212_01,1998-02-12,1998-02,12_01,C:\scripts\gettysburgian\issue_txt\19980212_01.txt
19980219_01,1998-02-19,1998-02,19_01,C:\scripts\gettysburgian\issue_txt\19980219_01.txt
19980226_01,1998-02-26,1998-02,26_01,C:\scripts\gettysburgian\issue_txt\19980226_01.txt
19980305_01,1998-03-05,1998-03,05_01,C:\scripts\gettysburgian\issue_txt\19980305_01.txt
19980319_01,1998-03-19,1998-03,19_01,C:\scripts\gettysburgian\issue_txt\19980319_01.txt
19980326_01,1998-03-26,1998-03,26_01,C:\scripts\gettysburgian\issue_txt\19980326_01.txt
19980402_01,1998-04-02,1998-04,02_01,C:\scripts\gettysburgian\issue_txt\19980402_01.txt
19980409_01,1998-04-09,1998-04,09_01,C:\scripts\gettysburgian\issue_txt\19980409_01.txt
19980416_01,1998-04-16,1998-04,16_01,C:\scripts\gettysburgian\issue_txt\19980416_01.txt
19980423_01,1998-04-23,1998-04,23_01,C:\scripts\gettysburgian\issue_txt\19980423_01.txt
19980430_01,1998-04-30,1998-04,30_01,C:\scripts\gettysburgian\issue_txt\19980430_01.txt
